Society,Award Type,Year,Award Winner,Training Level,Gender,,,Gender Key,Award Category Key,Training Level
COS,2,2021,Brian Leonard,1,1,,,Male = 1,Educator = 1,MD = 1
COS,2,2020,Simon P. Holland,1,1,,,Female = 2,Leader = 2,PhD = 2
COS,2,2019,Hélène Boisjoly,1,2,,,Other = 3,Lifetime = 3,MD/PhD = 3
COS,2,2018,Graham E. Trope,5,1,,,,Research = 4,Student = 4
COS,2,2017,Seymour Brownstein,1,1,,,,,Other = 5
COS,2,2016,John Simon Fraser Richards,1,,,,,,
COS,2,2015,Charles Pavlin,1,1,,,,,
COS,2,2014,Raymond P. LeBlanc,1,1,,,,,
COS,2,2013,Brenda L. Gallie,1,2,,,,,
COS,2,2012,W. Bruce Jackson,1,,,,,,
COS,2,2011,Jack Rootman,1,1,,,,,
COS,2,2010,Pierre Labelle,1,1,,,,,
COS,2,2009,Howard V. Gimbel,1,1,,,,,
COS,2,2008,Stephen M. Drance,1,1,,,,,
COS,2,2007,Charles Dyson,1,1,,,,,
COS,2,2007,Sean B. Murphy,1,1,,,,,
COS,2,2007,Alain P. Rousseau,1,1,,,,,
COS,2,2006,John H. Quigley,1,1,,,,,
COS,2,2006,Harold Stein,1,1,,,,,
COS,2,2006,Clement McCulloch,1,1,,,,,
COS,4,2021 (1st-paper),Tina Felfeli,1,2,,,,,
COS,4,2021 (2nd-paper),David J. Mathew,1,1,,,,,
COS,4,2021 (3rd-paper),Dominique Geoffrion,4,2,,,,,
COS,4,2021 (1st-poster),Ali Salimi,1,1,,,,,
COS,4,2021 (2nd-poster),Susan Ruyu Qi,1,,,,,,
COS,4,2021 (3rd-poster),Nolan Chem,4,1,,,,,
COS,4,2020 (1st-paper),Carolina L. M. Francisconi,1,2,,,,,
COS,4,2020 (2nd-paper),Yusuf Ahmed,4,1,,,,,
COS,4,2020 (3rd-paper),Rachel Curtis,1,2,,,,,
COS,4,2020 (1st-poster),Angela (An Qi) Chang,4,2,,,,,
COS,4,2020 (2nd-poster),Prem Nichani,4,1,,,,,
COS,4,2020 (2nd-poster),Matthew Fung,4,1,,,,,
COS,4,2020 (3rd-poster),Siddharth Nath,3,1,,,,,
COS,4,2019 (1st-paper),Jacob Rullo,3,1,,,,,
COS,4,2019 (2nd-paper),James J. Armstrong,3,1,,,,,
COS,4,2019 (2nd-paper),Alexander L. Pearson,4,,,,,,
COS,4,2019 (3rd-paper),Jennifer L. Gao,1,2,,,,,
COS,4,2019 (1st-poster),Jim T. Denstedt,4,1,,,,,
COS,4,2019 (2nd-poster),Andrei-Alexandru Szigiato,1,1,,,,,
COS,4,2019 (3rd-poster),Qinyuan (Alis) Xu,4,2,,,,,
COS,4,2018 (1st-paper),Jordan Isenberg,1,1,,,,,
COS,4,2018 (2nd-paper),James J. Armstrong,3,1,,,,,
COS,4,2018 (3rd-paper),Andrei-Alexandru Szigiato,1,1,,,,,
COS,4,2018 (1st-poster),Xinyi Li,4,,,,,,
COS,4,2018 (2nd-poster),Jade Marie Lasiste,1,2,,,,,
COS,4,2018 (3rd-poster),Parnian Arjmand,1,2,,,,,
COS,4,2017 (1st-paper),Sina Khalili,1,,,,,,
COS,4,2017 (2nd-paper),Victoria C. Leung,1,2,,,,,
COS,4,2017 (3rd-paper),Ioannis S. Dimopoulos,1,1,,,,,
COS,4,2017 (1st-poster),Jade Marie Lasiste,1,2,,,,,
COS,4,2017 (2nd-poster),Carl Shen,1,1,,,,,
COS,4,2017 (3rd-poster),Husayn Gulamhusein,1,1,,,,,
COS,4,2016 (1st-paper),Mark Seamone,1,1,,,,,
COS,4,2016 (2nd-paper),Carl Shen,1,1,,,,,
COS,4,2016 (3rd-paper),Alice Zhang,1,2,,,,,
COS,4,2016 (1st-poster),Parnian Arjmand,1,2,,,,,
COS,4,2016 (2nd-poster),Stephanie Cote,4,2,,,,,
