,Society,Award Type,Year,Award Winner,Training Level,Gender,Male,Female,FName,LName,pred_genders
0,COS,3,2021,Brian Leonard,1,1,True,False,Brian,Leonard,male
1,COS,3,2020,Simon Holland,1,1,True,False,Simon,Holland,male
2,COS,3,2019,Helene Boisjoly,1,2,False,True,Helene,Boisjoly,female
3,COS,3,2018,Graham Trope,3,1,True,False,Graham,Trope,male
4,COS,3,2017,Seymour Brownstein,1,1,True,False,Seymour,Brownstein,male
5,COS,3,2016,John Richards,1,-1,False,False,John,Richards,male
6,COS,3,2015,Charles Pavlin,1,1,True,False,Charles,Pavlin,male
7,COS,3,2014,Raymond LeBlanc,1,1,True,False,Raymond,LeBlanc,male
8,COS,3,2013,Brenda Gallie,1,2,False,True,Brenda,Gallie,female
9,COS,3,2012,William Jackson,1,-1,False,False,William,Jackson,male
10,COS,3,2011,Jack Rootman,1,1,True,False,Jack,Rootman,male
11,COS,3,2010,Pierre Labelle,1,1,True,False,Pierre,Labelle,male
12,COS,3,2009,Howard Gimbel,1,1,True,False,Howard,Gimbel,male
13,COS,3,2008,Stephen Drance,1,1,True,False,Stephen,Drance,male
14,COS,3,2007,Charles Dyson,1,1,True,False,Charles,Dyson,male
15,COS,3,2007,Sean Murphy,1,1,True,False,Sean,Murphy,male
16,COS,3,2007,Alain Rousseau,1,1,True,False,Alain,Rousseau,male
17,COS,3,2006,John Quigley,1,1,True,False,John,Quigley,male
18,COS,3,2006,Harold Stein,1,1,True,False,Harold,Stein,male
19,COS,3,2006,Clement McCulloch,1,1,True,False,Clement,McCulloch,male
20,COS,4,2021,Tina Felfeli,1,2,False,True,Tina,Felfeli,female
21,COS,4,2021,David Mathew,1,1,True,False,David,Mathew,male
22,COS,4,2021,Dominique Geoffrion,4,2,False,True,Dominique,Geoffrion,male
23,COS,4,2021,Ali Salimi,1,1,True,False,Ali,Salimi,male
24,COS,4,2021,Susan Qi,1,-1,False,False,Susan,Qi,female
25,COS,4,2021,Nolan Chem,4,1,True,False,Nolan,Chem,male
26,COS,4,2020,Carolina Francisconi,1,2,False,True,Carolina,Francisconi,female
27,COS,4,2020,Yusuf Ahmed,4,1,True,False,Yusuf,Ahmed,male
28,COS,4,2020,Rachel Curtis,1,2,False,True,Rachel,Curtis,female
29,COS,4,2020,Angela Chang,4,2,False,True,Angela,Chang,female
30,COS,4,2020,Prem Nichani,4,1,True,False,Prem,Nichani,male
31,COS,4,2020,Matthew Fung,4,1,True,False,Matthew,Fung,male
32,COS,4,2020,Siddharth Nath,3,1,True,False,Siddharth,Nath,male
33,COS,4,2019,Jacob Rullo,3,1,True,False,Jacob,Rullo,male
34,COS,4,2019,James Armstrong,3,1,True,False,James,Armstrong,male
35,COS,4,2019,Alexander Pearson,4,-1,False,False,Alexander,Pearson,male
36,COS,4,2019,Jennifer Gao,1,2,False,True,Jennifer,Gao,female
37,COS,4,2019,Jim Denstedt,4,1,True,False,Jim,Denstedt,male
38,COS,4,2019,Andrei Szigiato,1,1,True,False,Andrei,Szigiato,male
39,COS,4,2019,Qinyuan Xu,4,2,False,True,Qinyuan,Xu,female
40,COS,4,2018,Jordan Isenberg,1,1,True,False,Jordan,Isenberg,male
41,COS,4,2018,James Armstrong,3,1,True,False,James,Armstrong,male
42,COS,4,2018,Andrei Szigiato,1,1,True,False,Andrei,Szigiato,male
43,COS,4,2018,Xinyi Li,4,-1,False,False,Xinyi,Li,female
44,COS,4,2018,Jade Lasiste,1,2,False,True,Jade,Lasiste,female
45,COS,4,2018,Parnian Arjmand,1,2,False,True,Parnian,Arjmand,female
46,COS,4,2017,Sina Khalili,1,-1,False,False,Sina,Khalili,male
47,COS,4,2017,Victoria Leung,1,2,False,True,Victoria,Leung,female
48,COS,4,2017,Ioannis Dimopoulos,1,1,True,False,Ioannis,Dimopoulos,male
49,COS,4,2017,Jade Lasiste,1,2,False,True,Jade,Lasiste,female
50,COS,4,2017,Carl Shen,1,1,True,False,Carl,Shen,male
51,COS,4,2017,Husayn Gulamhusein,1,1,True,False,Husayn,Gulamhusein,male
52,COS,4,2016,Mark Seamone,1,1,True,False,Mark,Seamone,male
53,COS,4,2016,Carl Shen,1,1,True,False,Carl,Shen,male
54,COS,4,2016,Alice Zhang,1,2,False,True,Alice,Zhang,female
55,COS,4,2016,Parnian Arjmand,1,2,False,True,Parnian,Arjmand,female
56,COS,4,2016,Stephanie Cote,4,2,False,True,Stephanie,Cote,female
57,COS,4,2016,Yogesh Patodia,4,1,True,False,Yogesh,Patodia,male
58,COS,4,2015,Manjool Shah,1,1,True,False,Manjool,Shah,unknown
59,COS,4,2015,Julie Morin,1,2,False,True,Julie,Morin,female
60,COS,4,2015,Gary Yau,1,1,True,False,Gary,Yau,male
61,COS,4,2015,Raageen Kanjee,1,1,True,False,Raageen,Kanjee,unknown
62,COS,4,2015,Adrian Tsang,4,1,True,False,Adrian,Tsang,male
63,COS,4,2015,Wendy Wang,4,2,False,True,Wendy,Wang,female
64,COS,4,2014,Yufeng Chen,4,2,False,True,Yufeng,Chen,male
65,COS,4,2014,Joshua Teichman,1,1,True,False,Joshua,Teichman,male
66,COS,4,2014,Yiannis Iordanous,1,1,True,False,Yiannis,Iordanous,male
67,COS,4,2014,Caitlin Chang,4,-1,False,False,Caitlin,Chang,female
68,COS,4,2014,Vasudha Gupta,1,2,False,True,Vasudha,Gupta,female
69,COS,4,2014,Swati Chavda,5,-1,False,False,Swati,Chavda,female
70,COS,4,2013,Talal Alabduljalil,1,-1,False,False,Talal,Alabduljalil,male
71,COS,4,2013,Stephen Dorrepaal,1,1,True,False,Stephen,Dorrepaal,male
72,COS,4,2013,Nawaaz Nathoo,1,1,True,False,Nawaaz,Nathoo,male
73,COS,4,2013,Stephanie Kletke,4,2,False,True,Stephanie,Kletke,female
74,COS,4,2013,Jay Wang,4,1,True,False,Jay,Wang,male
75,COS,4,2013,Victoria Leung,4,2,False,True,Victoria,Leung,female
76,COS,4,2012,David Almeida,1,1,True,False,David,Almeida,male
77,COS,4,2012,Vivian Yin,1,2,False,True,Vivian,Yin,female
78,COS,4,2012,Laura Beltran,3,-1,False,False,Laura,Beltran,female
79,COS,4,2012,Weerawat Kiddee,1,-1,False,False,Weerawat,Kiddee,male
80,COS,4,2012,Nour Haydari,1,1,True,False,Nour,Haydari,female
81,COS,4,2012,Radwan Ajlan,1,1,True,False,Radwan,Ajlan,male
82,COS,4,2011,Alexandre Reis,3,-1,False,False,Alexandre,Reis,male
83,COS,4,2011,Jason Noble,1,1,True,False,Jason,Noble,male
84,COS,4,2011,Bethany Durling,4,2,False,True,Bethany,Durling,female
85,COS,4,2011,Kailun Jiang,4,2,False,True,Kailun,Jiang,male
86,COS,4,2011,Jamil Jivraj,1,1,True,False,Jamil,Jivraj,male
