,Name,Society,Award,Year,Location,Data Source,Gender,pred_gender
0,"John R. Cameron, PhD, Lone Rock, WI",Radiological society of North America,Roentgen Centennial Commemorative Medal,1995,Wisconsin USA,https://hps.org/aboutthesociety/people/inmemoriam/JohnCameron.html,1,male
1,"Juan del Regato, MD, Tampa, FL",Radiological society of North America,Roentgen Centennial Commemorative Medal,1995,Cuba,https://www.roinstitute.org/About-the-ROI/The-ROI-Juan-A-del-Regato-Fund/Biography,1,male
2,"Olle Olsson, MD, Lund, Sweden",Radiological society of North America,Roentgen Centennial Commemorative Medal,1995,"Landskrona, Sweden",https://pubs.rsna.org/doi/abs/10.1148/radiology.213.2.r99oc58621?journalCode=radiology,1,male
3,"John H. Juhl, MD, Albuquerque, NM",Radiological society of North America,Roentgen Centennial Commemorative Medal,1995,"Thompson, Iowa",https://www.findagrave.com/memorial/86463847/john-harold-juhl,1,male
4,Sanjeev Bhalla,American Roentgen Ray Society,Distinguished Educator Award,2021,,https://www.rsna.org/about/board-of-directors/sanjeev-bhalla-md,1,unknown
5,"Mark E. Mullins, MD, PhD",American Roentgen Ray Society,Distinguished Educator Award,2020,,https://winshipcancer.emory.edu/bios/faculty/mullins-mark-e.html,1,male
6,"Christine (Cooky) O. Menias, MD",American Roentgen Ray Society,Distinguished Educator Award,2019,,https://www.mayoclinic.org/biographies/menias-christine-cooky-o-m-d/bio-20055724,1,unknown
7,James Provenzale,American Roentgen Ray Society,Distinguished Educator Award,2018,,https://radiology.duke.edu/faculty/member/james-m-provenzale/,1,male
8,Gerald Abbott,American Roentgen Ray Society,Distinguished Educator Award,2016,,https://www.massgeneral.org/doctors/17947/Gerald-Abbott,1,unknown
9,Robert Zeman,American Roentgen Ray Society,Distinguished Educator Award,2015,,https://www.gwdocs.com/find-a-doctor/robert-zeman-md/,1,male
10,Felix Chew,American Roentgen Ray Society,Distinguished Educator Award,2014,,https://rad.washington.edu/radiology-personnel/fchew/,1,unknown
11,Angelisa Paladin,American Roentgen Ray Society,Distinguished Educator Award,2013,,https://rad.washington.edu/radiology-personnel/apaladin/,2,unknown
12,Richard Gunderman,American Roentgen Ray Society,Distinguished Educator Award,2012,,https://medicine.iu.edu/faculty/6855/gunderman-richard,1,female
13,Lee Rogers,American Roentgen Ray Society,Distinguished Educator Award,2011,,https://www.researchgate.net/profile/Lee-Rogers-2,1,male
14,Melissa Rosado de Christenson,American Roentgen Ray Society,Distinguished Educator Award,2010,,https://doctors.saintlukeskc.org/provider/Melissa+L+Rosado+de+Christenson/1458208,2,unknown
15,Paul C. Hodges,Association of University Radiologists,Gold Medal Award,1978,,https://radiology.uchicago.edu/people/paul-c-hodges-excellence-award,1,male
16,Hugh M. Wilson,Association of University Radiologists,Gold Medal Award,1978,,https://pubs.rsna.org/doi/10.1148/128.3.842,1,male
17,Henry S. Kaplan,Association of University Radiologists,Gold Medal Award,1979,,https://radonc.stanford.edu/about.html,1,male
18,Russell H. Morgan,Association of University Radiologists,Gold Medal Award,1979,,https://www.ajronline.org/doi/pdf/10.2214/ajr.148.1.16,1,male
19,William B Seaman,Association of University Radiologists,Gold Medal Award,1979,,https://www.ajronline.org/doi/pdfplus/10.2214/ajr.185.5.1381,1,male
