,name,race
0,Adam,pctwhite
1,Adamson,pctwhite
2,Ahamed,pctapi
3,Alavi,pctwhite
4,Alexander,pctwhite
5,Allen,pctwhite
6,Allman,pctwhite
7,Alrai,
8,Anderson,pctwhite
9,Arden,pctwhite
10,Badesha,
11,Bajgai,
12,Beauchamp,pctwhite
13,Belhacene,
14,Ben-Amou,
15,Berner,pctwhite
16,Best,pctwhite
17,Bice,pctwhite
18,Bieber,pctwhite
19,Bishop,pctwhite
20,Bliek,pctwhite
21,Bliek,pctwhite
22,Boessenkool,
23,Botelho Medeiros,
24,Bounsall,
25,Bowers,pctwhite
26,Brach,pctwhite
27,Brown,pctwhite
28,Bryans,pctwhite
29,Buller,pctwhite
30,Burton,pctwhite
31,Butler,pctwhite
32,Campos,pcthispanic
33,Castagner,
34,Cater,pctwhite
35,Challmie,
36,Chamanian,
37,Chau,pctapi
38,Chau,pctapi
39,Choi,pctapi
40,Chow-Gao,
41,Chow,pctapi
42,Chow,pctapi
43,Chow,pctapi
44,Co,pctapi
45,Cook,pctwhite
46,Council,pctblack
47,Dalia,pctwhite
48,Damani,pctapi
49,Dawson,pctwhite
50,De Morais,
51,Decenzo,pctwhite
52,Delichte,
53,Deng,pctapi
54,Destefano,pctwhite
55,Dhaliwal,pctapi
56,Dhaliwal,pctapi
57,Dhillon,pctapi
58,Dias,pctwhite
59,Dif,
60,Dods,pctwhite
61,Doneza,
62,Doneza,
63,Dong,pctapi
64,Dulay,pctapi
65,Duncan,pctwhite
66,Dutta,pctapi
67,Dyck,pctwhite
68,Ebtekar,
69,Einarson,pctwhite
70,Elijani-Asli,
71,Ellis,pctwhite
72,Eslami,pctwhite
73,Esmati Baygi,
74,Fengler,pctwhite
75,Fennell,pctwhite
76,Fennema,pctwhite
77,Fernandes,pctwhite
78,Finch,pctwhite
79,Fleming,pctwhite
80,Fleming,pctwhite
81,Fodor,pctwhite
82,Fong,pctapi
83,Foo,pctapi
84,Formo,pctwhite
85,Forrest,pctwhite
86,Foster,pctwhite
87,Fowler,pctwhite
88,Garland,pctwhite
89,Garrett,pctwhite
90,Geleynse,
91,Generoso,pctwhite
92,George,pctwhite
93,George,pctwhite
94,George,pctwhite
95,Georgeopoulos,
96,Gervacio,pcthispanic
97,Getz,pctwhite
98,Gibson,pctwhite
99,Gibson,pctwhite
100,Giesbrecht,pctwhite
101,Gill,pctwhite
102,Gill,pctwhite
103,Glymin,
104,Gomez,pcthispanic
105,Grant,pctwhite
106,Grave,pctwhite
107,Grout,pctwhite
