Name,Society,Award,Year,Location,Data Source,Gender
"John R. Cameron, PhD, Lone Rock, WI",Radiological society of North America,Roentgen Centennial Commemorative Medal,1995,Wisconsin USA,https://hps.org/aboutthesociety/people/inmemoriam/JohnCameron.html,1
"Juan del Regato, MD, Tampa, FL",Radiological society of North America,Roentgen Centennial Commemorative Medal,1995,Cuba,https://www.roinstitute.org/About-the-ROI/The-ROI-Juan-A-del-Regato-Fund/Biography,1
"Olle Olsson, MD, Lund, Sweden",Radiological society of North America,Roentgen Centennial Commemorative Medal,1995,"Landskrona, Sweden",https://pubs.rsna.org/doi/abs/10.1148/radiology.213.2.r99oc58621?journalCode=radiology,1
"John H. Juhl, MD, Albuquerque, NM",Radiological society of North America,Roentgen Centennial Commemorative Medal,1995,"Thompson, Iowa",https://www.findagrave.com/memorial/86463847/john-harold-juhl,1
Sanjeev Bhalla,American Roentgen Ray Society,Distinguished Educator Award,2021,,https://www.rsna.org/about/board-of-directors/sanjeev-bhalla-md,1
"Mark E. Mullins, MD, PhD",American Roentgen Ray Society,Distinguished Educator Award,2020,,https://winshipcancer.emory.edu/bios/faculty/mullins-mark-e.html,1
"Christine (Cooky) O. Menias, MD",American Roentgen Ray Society,Distinguished Educator Award,2019,,https://www.mayoclinic.org/biographies/menias-christine-cooky-o-m-d/bio-20055724,1
James Provenzale,American Roentgen Ray Society,Distinguished Educator Award,2018,,https://radiology.duke.edu/faculty/member/james-m-provenzale/,1
Gerald Abbott,American Roentgen Ray Society,Distinguished Educator Award,2016,,https://www.massgeneral.org/doctors/17947/Gerald-Abbott,1
Robert Zeman,American Roentgen Ray Society,Distinguished Educator Award,2015,,https://www.gwdocs.com/find-a-doctor/robert-zeman-md/,1
Felix Chew,American Roentgen Ray Society,Distinguished Educator Award,2014,,https://rad.washington.edu/radiology-personnel/fchew/,1
Angelisa Paladin,American Roentgen Ray Society,Distinguished Educator Award,2013,,https://rad.washington.edu/radiology-personnel/apaladin/,2
Richard Gunderman,American Roentgen Ray Society,Distinguished Educator Award,2012,,https://medicine.iu.edu/faculty/6855/gunderman-richard,1
Lee Rogers,American Roentgen Ray Society,Distinguished Educator Award,2011,,https://www.researchgate.net/profile/Lee-Rogers-2,1
Melissa Rosado de Christenson,American Roentgen Ray Society,Distinguished Educator Award,2010,,https://doctors.saintlukeskc.org/provider/Melissa+L+Rosado+de+Christenson/1458208,2
Paul C. Hodges,Association of University Radiologists,Gold Medal Award,1978,,https://radiology.uchicago.edu/people/paul-c-hodges-excellence-award,1
Hugh M. Wilson,Association of University Radiologists,Gold Medal Award,1978,,https://pubs.rsna.org/doi/10.1148/128.3.842,1
Henry S. Kaplan,Association of University Radiologists,Gold Medal Award,1979,,https://radonc.stanford.edu/about.html,1
Russell H. Morgan,Association of University Radiologists,Gold Medal Award,1979,,https://www.ajronline.org/doi/pdf/10.2214/ajr.148.1.16,1
William B Seaman,Association of University Radiologists,Gold Medal Award,1979,,https://www.ajronline.org/doi/pdfplus/10.2214/ajr.185.5.1381,1
Robert D. Moseley,Association of University Radiologists,Gold Medal Award,1980,,https://www.chicagotribune.com/news/ct-xpm-1987-03-13-8701200238-story.html,1
Sidney W. Nelson,Association of University Radiologists,Gold Medal Award,1980,,https://www.legacy.com/obituaries/dispatch/obituary.aspx?n=sidney-w-nelson&pid=18704013,1
Harry W. Fischer,Association of University Radiologists,Gold Medal Award,1981,,https://www.ajronline.org/doi/pdfplus/10.2214/ajr.172.4.10587161,1
Harvey Picker,Association of University Radiologists,Gold Medal Award,1981,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2413380/,1
Jean Picker,Association of University Radiologists,Gold Medal Award,1981,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2413380/,2
Elliott C. Lasser,Association of University Radiologists,Gold Medal Award,1981,,https://medschool.ucsd.edu/som/radiology/about/alumni/Pages/About-Dr.-Lasser.aspx,1
Harold G. Jacobson,Association of University Radiologists,Gold Medal Award,1982,,https://pubs.rsna.org/doi/10.1148/88.2.369,1
Alexander R. Margulis,Association of University Radiologists,Gold Medal Award,1982,,https://radiology.ucsf.edu/blog/alexander-r-margulis-md-1921-2018,1
Robert N. Cooley,Association of University Radiologists,Gold Medal Award,1983,,https://www.jacr.org/article/S1546-1440(09)00247-6/fulltext,1
Melvin M. Figley,Association of University Radiologists,Gold Medal Award,1983,,https://www.ajronline.org/doi/pdfplus/10.2214/AJR.10.5368,1
Herbert L. Abrams,Association of University Radiologists,Gold Medal Award,1984,,https://med.stanford.edu/radiology/news/2016/herbert-abrams-1920-2016.html,1
Richard H. Greenspan,Association of University Radiologists,Gold Medal Award,1985,,http://archives.news.yale.edu/v33.n4/story19.html,1
Byron G. Brogdon,Association of University Radiologists,Gold Medal Award,1985,,https://www.doximity.com/pub/byron-brogdon-md,1
Juan M. Taveras,Association of University Radiologists,Gold Medal Award,1985,,https://news.harvard.edu/gazette/story/2006/03/juan-manuel-taveras/,1
Harry Z. Mellins,Association of University Radiologists,Gold Medal Award,1986,,https://fa.hms.harvard.edu/files/memorialminute_mellins_harry_z.pdf,1
Lucy Frank Squire,Association of University Radiologists,Gold Medal Award,1986,,https://cfmedicine.nlm.nih.gov/physicians/biography_307.html,1
Henry H. Jones,Association of University Radiologists,Gold Medal Award,1987,,http://med.stanford.edu/news/all-news/2012/08/henry-h-jones-professor-emeritus-of-radiology-passes-away-at-95.html,1
Alexander Gottschalk,Association of University Radiologists,Gold Medal Award,1987,,https://www.ucsfhealth.org/providers/dr-alexander-gottschalk,1
M. Paul Capp,Association of University Radiologists,Gold Medal Award,1988,,https://medicine.arizona.edu/person/michael-p-capp-md,1
Eugene C. Klatte,Association of University Radiologists,Gold Medal Award,1989,,https://alliance.iu.edu/members/member/1106.html,1
Joseph E. Whitley,Association of University Radiologists,Gold Medal Award,1989,,https://www.washingtonpost.com/archive/local/1989/04/27/joseph-e-whitley-chairman-of-radiology-at-u-md-dies/89e0e5c7-f06e-4d3d-84b8-c6fdb097123a/,1
John A. Campbell,Association of University Radiologists,Gold Medal Award,1990,,https://www.med.unc.edu/radiology/directory/john-campbell/,1
John H. Juhl,Association of University Radiologists,Gold Medal Award,1990,,https://www.drjuhl.com/,1
John F. Holt,Association of University Radiologists,Gold Medal Award,1991,,https://medicine.umich.edu/dept/radiology/giving/professorships/john-f-holt-collegiate-professorship-radiology,1
Charles E. Putman,Association of University Radiologists,Gold Medal Award,1991,,https://radiology.duke.edu/research/clinical-research-unit/charles-e-putman-m-d-vision-award-guidelines/,1
Malcom D. Jones,Association of University Radiologists,Gold Medal Award,1992,,https://pubs.rsna.org/doi/abs/10.1148/radiology.220.3.r01se44832?journalCode=radiology,1
Melvyn H. Schreiber,Association of University Radiologists,Gold Medal Award,1993,,https://www.doximity.com/pub/melvyn-schreiber-md,1
Frederix N Silverman,Association of University Radiologists,Gold Medal Award,1993,,https://www.ajronline.org/doi/pdfplus/10.2214/ajr.151.4.761,1
John A kirkpatrick,Association of University Radiologists,Gold Medal Award,1994,,https://fa.hms.harvard.edu/files/hmsofa/files/memorialminute_kirkpatrick_john_a.pdf,1
Nancy O. Whitley,Association of University Radiologists,Gold Medal Award,1994,,https://www.baltimoresun.com/news/bs-xpm-1998-05-24-1998144067-story.html,2
David G. Bragg,Association of University Radiologists,Gold Medal Award,1995,,https://medicine.utah.edu/faculty/mddetail.php?facultyID=u0034680,1
George R. Leopold,Association of University Radiologists,Gold Medal Award,1995,,https://www.doximity.com/pub/george-leopold-md,1
Ronald G. Evens,Association of University Radiologists,Gold Medal Award,1996,,https://medicine.wustl.edu/news/about/faculty-recognition/alumni-association-awards/aa-2014/ronald-g-evens-md/,1
Thomas S. Harle,Association of University Radiologists,Gold Medal Award,1996,,https://www.doximity.com/pub/thomas-harle-md,1
C. Douglas Maynard,Association of University Radiologists,Gold Medal Award,1997,,https://pubs.rsna.org/doi/abs/10.1148/radiology.214.1.r00ja505?journalCode=radiology,1
James E. Youker,Association of University Radiologists,Gold Medal Award,1997,,https://www.mcw.edu/find-a-doctor/youker-james-e-md,1
B. Leonard Holman,Association of University Radiologists,Gold Medal Award,1998,,https://www.brighamandwomens.org/radiology/education-and-training/holman-archives,1
James H. Scatliff,Association of University Radiologists,Gold Medal Award,1998,,https://www.med.unc.edu/radiology/our-people/leadership/department-overview/in-memory/remembering-dr-jim-scatliff/,1
Jerome H. Arndt,Association of University Radiologists,Gold Medal Award,1999,,https://www.apdr.org/apcr/general-information/history-and-archives/tribute-to-jerome-arndt,1
Robert W. Holden,Association of University Radiologists,Gold Medal Award,1999,,https://archives.iupui.edu/handle/2450/12033,1
Arvin E. Robinson,Association of University Radiologists,Gold Medal Award,2000,,https://www.urmc.rochester.edu/imaging/about-us/faculty-alumni-of-note/arvin-robinson.aspx,1
Lee F. Rogers,Association of University Radiologists,Gold Medal Award,2000,,https://www.arrs.org/ARRSLIVE/RogersFellowship,1
Edmund A. Franken,Association of University Radiologists,Gold Medal Award,2001,,https://medicine.uiowa.edu/radiology/content/franken-professor-pediatric-radiology,1
William M. Thompson,Association of University Radiologists,Gold Medal Award,2001,,https://hsc.unm.edu/directory/thompson-william.html,1
