,Society,Award,Gender,pred_gender
0,Radiological society of North America,Roentgen Centennial Commemorative Medal,1,1
1,Radiological society of North America,Roentgen Centennial Commemorative Medal,1,1
2,Radiological society of North America,Roentgen Centennial Commemorative Medal,1,1
3,Radiological society of North America,Roentgen Centennial Commemorative Medal,1,1
4,American Roentgen Ray Society,Distinguished Educator Award,1,0
5,American Roentgen Ray Society,Distinguished Educator Award,1,1
6,American Roentgen Ray Society,Distinguished Educator Award,1,0
7,American Roentgen Ray Society,Distinguished Educator Award,1,1
8,American Roentgen Ray Society,Distinguished Educator Award,1,0
9,American Roentgen Ray Society,Distinguished Educator Award,1,1
10,American Roentgen Ray Society,Distinguished Educator Award,1,0
11,American Roentgen Ray Society,Distinguished Educator Award,2,0
12,American Roentgen Ray Society,Distinguished Educator Award,1,2
13,American Roentgen Ray Society,Distinguished Educator Award,1,1
14,American Roentgen Ray Society,Distinguished Educator Award,2,0
15,Association of University Radiologists,Gold Medal Award,1,1
16,Association of University Radiologists,Gold Medal Award,1,1
17,Association of University Radiologists,Gold Medal Award,1,1
18,Association of University Radiologists,Gold Medal Award,1,1
19,Association of University Radiologists,Gold Medal Award,1,1
20,Association of University Radiologists,Gold Medal Award,1,1
21,Association of University Radiologists,Gold Medal Award,1,0
22,Association of University Radiologists,Gold Medal Award,1,1
23,Association of University Radiologists,Gold Medal Award,1,0
24,Association of University Radiologists,Gold Medal Award,2,2
25,Association of University Radiologists,Gold Medal Award,1,0
26,Association of University Radiologists,Gold Medal Award,1,0
27,Association of University Radiologists,Gold Medal Award,1,1
28,Association of University Radiologists,Gold Medal Award,1,1
29,Association of University Radiologists,Gold Medal Award,1,0
30,Association of University Radiologists,Gold Medal Award,1,0
31,Association of University Radiologists,Gold Medal Award,1,2
32,Association of University Radiologists,Gold Medal Award,1,0
33,Association of University Radiologists,Gold Medal Award,1,1
34,Association of University Radiologists,Gold Medal Award,1,1
35,Association of University Radiologists,Gold Medal Award,1,2
36,Association of University Radiologists,Gold Medal Award,1,1
37,Association of University Radiologists,Gold Medal Award,1,1
38,Association of University Radiologists,Gold Medal Award,1,1
39,Association of University Radiologists,Gold Medal Award,1,0
40,Association of University Radiologists,Gold Medal Award,1,1
41,Association of University Radiologists,Gold Medal Award,1,1
42,Association of University Radiologists,Gold Medal Award,1,1
43,Association of University Radiologists,Gold Medal Award,1,1
44,Association of University Radiologists,Gold Medal Award,1,1
45,Association of University Radiologists,Gold Medal Award,1,0
46,Association of University Radiologists,Gold Medal Award,1,0
47,Association of University Radiologists,Gold Medal Award,1,0
48,Association of University Radiologists,Gold Medal Award,1,1
49,Association of University Radiologists,Gold Medal Award,2,2
50,Association of University Radiologists,Gold Medal Award,1,1
51,Association of University Radiologists,Gold Medal Award,1,1
52,Association of University Radiologists,Gold Medal Award,1,1
53,Association of University Radiologists,Gold Medal Award,1,1
54,Association of University Radiologists,Gold Medal Award,1,1
55,Association of University Radiologists,Gold Medal Award,1,1
56,Association of University Radiologists,Gold Medal Award,1,1
57,Association of University Radiologists,Gold Medal Award,1,1
58,Association of University Radiologists,Gold Medal Award,1,0
59,Association of University Radiologists,Gold Medal Award,1,1
60,Association of University Radiologists,Gold Medal Award,1,0
61,Association of University Radiologists,Gold Medal Award,1,1
62,Association of University Radiologists,Gold Medal Award,1,0
63,Association of University Radiologists,Gold Medal Award,1,1
64,Association of University Radiologists,Gold Medal Award,1,1
65,Association of University Radiologists,Gold Medal Award,1,1
66,Association of University Radiologists,Gold Medal Award,1,0
67,Association of University Radiologists,Gold Medal Award,1,0
68,Association of University Radiologists,Gold Medal Award,1,0
69,Association of University Radiologists,Gold Medal Award,1,0
70,Association of University Radiologists,Gold Medal Award,1,0
71,Association of University Radiologists,Gold Medal Award,1,0
72,Association of University Radiologists,Gold Medal Award,2,1
73,Association of University Radiologists,Gold Medal Award,2,0
74,Association of University Radiologists,Gold Medal Award,1,1
75,Association of University Radiologists,Gold Medal Award,2,0
76,Association of University Radiologists,Gold Medal Award,1,1
77,Association of University Radiologists,Gold Medal Award,2,2
78,Association of University Radiologists,Gold Medal Award,1,0
79,Association of University Radiologists,Gold Medal Award,1,2
80,Association of University Radiologists,Gold Medal Award,1,1
81,Association of University Radiologists,Gold Medal Award,1,0
82,Association of University Radiologists,Gold Medal Award,1,0
83,Association of University Radiologists,Gold Medal Award,1,1
84,Association of University Radiologists,Gold Medal Award,2,0
85,Association of University Radiologists,Gold Medal Award,1,1
86,Association of University Radiologists,Gold Medal Award,2,0
87,Association of University Radiologists,Gold Medal Award,2,1
88,Association of University Radiologists,Gold Medal Award,2,0
89,Association of University Radiologists,Gold Medal Award,1,1
90,Association of University Radiologists,Gold Medal Award,2,0
91,Association of University Radiologists,Gold Medal Award,1,1
92,Association of University Radiologists,Gold Medal Award,1,1
93,Association of University Radiologists,Gold Medal Award,2,0
94,Association of University Radiologists,Gold Medal Award,1,0
95,Association of University Radiologists,Gold Medal Award,2,0
96,Association of University Radiologists,Gold Medal Award,2,0
97,Association of University Radiologists,Gold Medal Award,1,0
98,Association of University Radiologists,Gold Medal Award,1,2
99,Association of University Radiologists,Gold Medal Award,1,0
100,Association of University Radiologists,A3CR2 Outstanding Teacher Award,1,1
101,Association of University Radiologists,A3CR2 Outstanding Teacher Award,1,0
102,Association of University Radiologists,A3CR2 Outstanding Teacher Award,1,0
103,Association of University Radiologists,A3CR2 Outstanding Teacher Award,1,2
104,Association of University Radiologists,A3CR2 Outstanding Teacher Award,2,2
105,Association of University Radiologists,A3CR2 Outstanding Teacher Award,1,0
106,Association of University Radiologists,A3CR2 Outstanding Teacher Award,1,1
107,Association of University Radiologists,A3CR2 Outstanding Teacher Award,1,0
108,Association of University Radiologists,A3CR2 Outstanding Teacher Award,1,0
109,Association of University Radiologists,A3CR2 Outstanding Teacher Award,1,1
110,Association of University Radiologists,ACER Achievement Award,1,1
111,Association of University Radiologists,ACER Achievement Award,2,0
112,Association of University Radiologists,ACER Achievement Award,2,0
113,Association of University Radiologists,ACER Achievement Award,2,2
114,Association of University Radiologists,ACER Achievement Award,1,0
115,Association of University Radiologists,ACER Achievement Award,2,0
116,Association of University Radiologists,ACER Achievement Award,1,1
117,Association of University Radiologists,ACER Achievement Award,1,1
118,Association of University Radiologists,ACER Achievement Award,2,1
119,Association of University Radiologists,ACER Achievement Award,2,0
120,Association of University Radiologists,AMSER Excellence in Education Award:,1,1
121,Association of University Radiologists,AMSER Excellence in Education Award:,2,2
122,Association of University Radiologists,AMSER Excellence in Education Award:,1,0
123,Association of University Radiologists,AMSER Excellence in Education Award:,1,1
124,Association of University Radiologists,AMSER Excellence in Education Award:,2,2
125,Association of University Radiologists,AMSER Excellence in Education Award:,2,0
126,Association of University Radiologists,AMSER Excellence in Education Award:,2,2
127,Association of University Radiologists,AMSER Excellence in Education Award:,2,0
128,Association of University Radiologists,AMSER Excellence in Education Award:,2,0
129,Association of University Radiologists,AMSER Excellence in Education Award:,1,0
130,Association of University Radiologists,RAHSR Achievement Award,1,0
131,Association of University Radiologists,RAHSR Achievement Award,1,0
132,Association of University Radiologists,RAHSR Achievement Award,1,0
133,Association of University Radiologists,RAHSR Achievement Award,1,0
134,Association of University Radiologists,RAHSR Achievement Award,2,2
135,Association of University Radiologists,RAHSR Achievement Award,2,0
136,Association of University Radiologists,RAHSR Achievement Award,2,0
137,Association of University Radiologists,RRA New Investigator Award,2,0
138,Association of University Radiologists,RRA New Investigator Award,1,0
139,Association of University Radiologists,RRA New Investigator Award,2,0
140,Association of University Radiologists,RRA New Investigator Award,1,0
141,Association of University Radiologists,RRA New Investigator Award,1,2
142,Association of University Radiologists,RRA New Investigator Award,1,0
143,Association of University Radiologists,RRA New Investigator Award,1,1
144,Association of University Radiologists,RRA New Investigator Award,1,0
145,Association of University Radiologists,RRA New Investigator Award,1,0
146,Association of University Radiologists,RRA New Investigator Award,1,0
147,Association of University Radiologists,RRA New Investigator Award,1,1
148,Association of University Radiologists,RRA New Investigator Award,1,1
149,Association of University Radiologists,RRA New Investigator Award,1,1
150,Association of University Radiologists,RRA Innovation and Leadership Award:,1,1
151,Association of University Radiologists,RRA Innovation and Leadership Award:,1,0
152,Association of University Radiologists,RRA Innovation and Leadership Award:,1,1
153,Association of University Radiologists,RRA Innovation and Leadership Award:,1,1
154,Association of University Radiologists,RRA Innovation and Leadership Award:,1,0
